episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -3367.7269577495754, 2, 4.317706289002672, 103, 200035,                                             200035, 38.012420654296875, 1013.633544921875
2, -2336.5370505163446, 3, 3.3211122319989954, 75, 200110,                                             200110, 38.932926177978516, 1019.103515625
3, -3807.24798739329, 2, 7.5589895239972975, 157, 200267,                                             200267, 38.768863677978516, 1013.29541015625
4, -2587.0312422178686, 2, 3.150823808995483, 65, 200332,                                             200332, 37.3243293762207, 1016.8758544921875
5, -7156.677500963211, 3, 14.185563700004423, 298, 200630,                                             200630, 38.69717788696289, 1015.1076049804688
6, -15415.77077960968, 4, 21.238111588994798, 545, 201175,                                             201175, 38.52079772949219, 1036.927734375
7, -15703.952710151672, 4, 24.024474805002683, 572, 201747,                                             201747, 38.99263381958008, 1035.7230224609375
8, -3454.074373282492, 2, 6.151645061996533, 130, 201877,                                             201877, 39.43107604980469, 1032.941650390625
9, -2822.3365341369063, 2, 5.545684951997828, 113, 201990,                                             201990, 38.65037155151367, 1049.283935546875
10, -2386.6443596798927, 2, 5.347376842000813, 105, 202095,                                             202095, 37.87907409667969, 1045.6832275390625
11, -2435.9907387846615, 2, 4.134558502999425, 104, 202199,                                             202199, 40.98314666748047, 1038.669921875
12, -2291.0774084923323, 2, 2.743271535000531, 70, 202269,                                             202269, 37.181026458740234, 1016.0901489257812
13, -2362.1438595354557, 2, 4.320501399000932, 109, 202378,                                             202378, 39.57680892944336, 1029.538818359375
14, -2324.2804110348225, 2, 3.7199350650043925, 94, 202472,                                             202472, 38.38483428955078, 1034.89453125
15, -3384.45895332715, 2, 4.964371248002863, 130, 202602,                                             202602, 37.33034896850586, 1019.0849609375
16, -3733.8848526477814, 2, 4.715410384997085, 111, 202713,                                             202713, 39.01447296142578, 1018.263916015625
17, -3618.280610896647, 2, 4.344867120002164, 110, 202823,                                             202823, 39.06341552734375, 1032.766357421875
18, -2063.199643880129, 2, 3.1504422099969815, 80, 202903,                                             202903, 36.95051956176758, 1017.7311401367188
