episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -4424.973044872284, 2, 4.519634648000647, 102, 200005,                                             200005, 282.7237243652344, 3685.184326171875
2, -3173.6950867176056, 2, 2.661239981996914, 61, 200066,                                             200066, 277.4507751464844, 3635.74951171875
3, -3121.637315273285, 2, 1.9417700200028776, 46, 200112,                                             200112, 280.2073059082031, 3700.02099609375
4, -3050.714623808861, 2, 1.9080862459995842, 42, 200154,                                             200154, 274.4232482910156, 3659.40185546875
5, -3145.444019794464, 2, 2.133385584998905, 46, 200200,                                             200200, 284.15301513671875, 3697.99365234375
6, -3470.1793508529663, 2, 2.1110688949993346, 45, 200245,                                             200245, 290.5661315917969, 3603.98779296875
7, -3372.504279140383, 2, 6.962790109002526, 172, 200417,                                             200417, 279.2256164550781, 3651.41455078125
8, -3450.2088253051043, 2, 4.717040570998506, 113, 200530,                                             200530, 279.7180480957031, 3657.623779296875
9, -4306.857199214399, 2, 10.989751287001127, 274, 200804,                                             200804, 278.0902099609375, 3669.8662109375
10, -3875.9616148620844, 2, 4.721466050999879, 109, 200913,                                             200913, 280.1858215332031, 3667.49072265625
11, -7352.988207961491, 2, 15.608013824999944, 391, 201304,                                             201304, 278.1513671875, 3672.04345703125
12, -20550.316143512726, 2, 9.552931645001081, 235, 201539,                                             201539, 285.3477783203125, 3633.82373046875
13, -7267.425993561745, 4, 25.090891810999892, 559, 202098,                                             202098, 280.145751953125, 3627.55615234375
14, -6915.797513246536, 4, 21.208936716000608, 524, 202622,                                             202622, 281.5128479003906, 3614.660400390625
15, -6979.600518465042, 4, 21.037253081001836, 520, 203142,                                             203142, 281.8005065917969, 3629.7880859375
16, -6977.802211165428, 4, 19.81556109200028, 504, 203646,                                             203646, 278.2170104980469, 3599.7373046875
17, -7144.732370734215, 4, 20.22085838899875, 514, 204160,                                             204160, 284.2313537597656, 3593.283935546875
18, -6363.798346996307, 2, 11.750069454999903, 290, 204450,                                             204450, 285.1390075683594, 3591.86865234375
19, -7008.87386071682, 4, 20.423059214001114, 519, 204969,                                             204969, 279.52783203125, 3591.97119140625
20, -7318.014097929001, 4, 24.226485842998954, 552, 205521,                                             205521, 282.6903991699219, 3614.443359375
21, -7080.331639885902, 4, 21.83833499100001, 525, 206046,                                             206046, 280.8996276855469, 3602.50146484375
22, -6935.716781973839, 4, 20.62183535800432, 519, 206565,                                             206565, 277.4362487792969, 3639.686279296875
23, -6947.519204854965, 4, 20.389264923003793, 515, 207080,                                             207080, 271.1527404785156, 3655.198974609375
24, -6927.266671895981, 4, 20.79543205400114, 519, 207599,                                             207599, 272.10205078125, 3682.51416015625
25, -6987.826335191727, 4, 20.4069101579953, 513, 208112,                                             208112, 274.99700927734375, 3712.75634765625
26, -6177.672294855118, 2, 13.997281508003653, 355, 208467,                                             208467, 272.64752197265625, 3741.8359375
27, -7006.509583711624, 4, 20.423583411000436, 514, 208981,                                             208981, 274.9924621582031, 3776.806884765625
28, -7407.24598634243, 4, 25.040262199996505, 559, 209540,                                             209540, 268.8292541503906, 3831.01513671875
29, -12997.00827908516, 4, 22.042633641001885, 531, 210071,                                             210071, 269.8048400878906, 3840.254150390625
30, -7078.433100938797, 4, 20.402369142997486, 511, 210582,                                             210582, 264.3730163574219, 3871.741455078125
31, -6810.287461519241, 4, 20.245344071001455, 505, 211087,                                             211087, 272.3524475097656, 3888.073486328125
32, -5947.639507293701, 2, 11.601424103006138, 294, 211381,                                             211381, 273.1954345703125, 3928.311767578125
33, -7069.419198989868, 4, 20.793778664003185, 518, 211899,                                             211899, 271.2886047363281, 3926.544677734375
