episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -2327.669938802719, 3, 4.352570014001685, 88, 200062,                                             200062, 54.059940338134766, 1298.80712890625
2, 2327.2427294254303, 1, 2.6567491910027456, 64, 200126,                                             200126, 54.90034103393555, 1317.984619140625
3, -3871.2020609378815, 2, 19.62660256700474, 407, 200533,                                             200533, 55.704917907714844, 1308.5028076171875
4, -3727.7064765691757, 2, 24.443548872004612, 487, 201020,                                             201020, 56.51346206665039, 1306.20068359375
5, -1782.477137207985, 4, 24.05152618199645, 521, 201541,                                             201541, 54.83134841918945, 1305.680908203125
6, -2199.5008516311646, 2, 1.7110602840039064, 36, 201577,                                             201577, 54.02922821044922, 1308.9417724609375
7, -3346.5733746290207, 2, 16.23005007100437, 378, 201955,                                             201955, 55.766178131103516, 1310.00244140625
8, -2253.9466865062714, 2, 2.757442470996466, 47, 202002,                                             202002, 61.53022003173828, 1311.3404541015625
9, -3253.6813671588898, 2, 18.801626856002258, 377, 202379,                                             202379, 55.7375602722168, 1307.609619140625
10, -2178.0070321559906, 2, 2.1487339130035252, 40, 202419,                                             202419, 56.897300720214844, 1303.462646484375
11, -3131.096110701561, 2, 15.473510990996147, 313, 202732,                                             202732, 56.47728729248047, 1310.246826171875
12, -2659.9309651851654, 2, 8.766967540002952, 175, 202907,                                             202907, 57.449920654296875, 1314.7183837890625
13, -2193.918546438217, 2, 2.149546223998186, 49, 202956,                                             202956, 55.06239700317383, 1300.732666015625
14, -2171.829037308693, 2, 1.9071351480015437, 40, 202996,                                             202996, 56.216217041015625, 1313.53173828125
15, -2198.3011667728424, 2, 2.1097156730029383, 47, 203043,                                             203043, 60.15346145629883, 1312.892822265625
16, -2248.7689064741135, 2, 2.1441959090007003, 49, 203092,                                             203092, 56.253761291503906, 1326.20703125
17, -2168.8513263463974, 2, 2.3139763830040465, 51, 203143,                                             203143, 55.582088470458984, 1303.6669921875
18, -2127.5453983545303, 2, 2.115583416998561, 44, 203187,                                             203187, 59.864383697509766, 1306.316162109375
19, -2156.640584588051, 2, 2.5168100930022774, 54, 203241,                                             203241, 53.17813491821289, 1311.8599853515625
20, -2383.2964341640472, 2, 4.560486660004244, 109, 203350,                                             203350, 55.837703704833984, 1308.91943359375
21, -2229.6677185297012, 2, 2.5362362040032167, 54, 203404,                                             203404, 55.65224075317383, 1317.9132080078125
22, -2158.9126385450363, 2, 2.7245419710015994, 59, 203463,                                             203463, 57.63637924194336, 1311.95458984375
23, 2424.3142174482346, 1, 2.316401167998265, 38, 203501,                                             203501, 53.41552734375, 1308.802490234375
24, -4007.464371442795, 4, 27.876306485995883, 564, 204065,                                             204065, 56.026695251464844, 1301.0733642578125
25, -4210.97163105011, 4, 25.470592780002335, 533, 204598,                                             204598, 55.16843032836914, 1291.85498046875
26, -3760.312108039856, 4, 19.78801357500197, 474, 205072,                                             205072, 55.482948303222656, 1285.029541015625
27, -4343.404403686523, 4, 27.28365907600528, 553, 205625,                                             205625, 54.416690826416016, 1279.522705078125
28, -4375.985316753387, 4, 26.04136504100461, 544, 206169,                                             206169, 55.335140228271484, 1278.91455078125
29, -3795.0189418792725, 4, 20.226710212002217, 482, 206651,                                             206651, 56.10378646850586, 1273.3323974609375
30, -4287.426554203033, 4, 26.449127423999016, 541, 207192,                                             207192, 54.05625534057617, 1273.667724609375
31, -4336.51645565033, 4, 27.321625657998084, 550, 207742,                                             207742, 53.054283142089844, 1270.7099609375
32, -3650.010283946991, 4, 19.178479621004954, 462, 208204,                                             208204, 53.93855285644531, 1272.5091552734375
33, -4253.870390892029, 4, 25.46128340800351, 529, 208733,                                             208733, 54.597660064697266, 1273.8458251953125
34, -4401.678432941437, 4, 27.70514484799787, 560, 209293,                                             209293, 52.982887268066406, 1276.3636474609375
