episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -2285.1345994472504, 2, 3.5184894620033447, 83, 200055,                                             200055, 50.392547607421875, 1325.0159912109375
2, -1836.6804257631302, 4, 19.80990085600206, 489, 200544,                                             200544, 48.959686279296875, 1328.628662109375
3, 2272.2058020830154, 1, 3.314793130994076, 77, 200621,                                             200621, 48.48374938964844, 1326.728271484375
4, -2718.963147997856, 2, 7.774266018997878, 160, 200781,                                             200781, 51.71197509765625, 1333.2947998046875
5, 1390.4612823724747, 1, 16.798156258002564, 359, 201140,                                             201140, 49.59843444824219, 1335.5936279296875
6, -2575.9025688171387, 2, 6.736823741994158, 140, 201280,                                             201280, 50.05125427246094, 1346.6324462890625
7, -2873.6168555021286, 2, 11.765141529001994, 257, 201537,                                             201537, 49.64634704589844, 1350.920166015625
8, -2710.1656634807587, 3, 8.165244839998195, 209, 201746,                                             201746, 51.233619689941406, 1346.7232666015625
9, -2200.1491045951843, 2, 1.7086934399994789, 37, 201783,                                             201783, 54.55827331542969, 1346.22021484375
10, -2233.498777985573, 2, 2.3401211330055958, 55, 201838,                                             201838, 49.01327133178711, 1343.4947509765625
11, -2202.4081501960754, 2, 2.083958937000716, 45, 201883,                                             201883, 46.79063415527344, 1355.76220703125
12, -2923.8818023204803, 3, 10.781067916999746, 269, 202152,                                             202152, 48.75302505493164, 1353.7584228515625
13, -2220.6390359401703, 2, 1.9113930519961286, 40, 202192,                                             202192, 52.58250045776367, 1351.3663330078125
14, -3030.206907272339, 2, 11.811632396005734, 250, 202442,                                             202442, 49.903316497802734, 1353.497802734375
15, -3124.3780282735825, 2, 15.179710762000468, 318, 202760,                                             202760, 51.45952606201172, 1361.4873046875
16, -2207.334325194359, 2, 2.349085292997188, 50, 202810,                                             202810, 52.7608528137207, 1353.36669921875
17, -3602.7637248039246, 3, 20.803601437000907, 477, 203287,                                             203287, 50.499969482421875, 1365.3956298828125
18, -1623.1413788795471, 4, 19.211764405001304, 485, 203772,                                             203772, 50.980003356933594, 1365.5430908203125
19, -2206.5807135105133, 2, 1.9118279370013624, 38, 203810,                                             203810, 48.45588302612305, 1375.1820068359375
20, -2461.1344822645187, 2, 5.934976221004035, 118, 203928,                                             203928, 47.73004150390625, 1373.5091552734375
21, 2275.4999787807465, 1, 3.795328239997616, 78, 204006,                                             204006, 51.695613861083984, 1376.9796142578125
22, -1905.092097401619, 4, 26.034767321994877, 558, 204564,                                             204564, 50.71186828613281, 1376.193603515625
23, -2193.5368546247482, 2, 2.1395965850024368, 44, 204608,                                             204608, 48.324344635009766, 1373.8809814453125
24, -2400.2496091127396, 2, 4.518869471998187, 104, 204712,                                             204712, 51.646732330322266, 1383.0904541015625
25, -2203.2031672000885, 2, 2.1414309940009844, 53, 204765,                                             204765, 49.30739974975586, 1373.9664306640625
26, 1314.6539417505264, 1, 14.163694582006428, 358, 205123,                                             205123, 49.64731979370117, 1387.9180908203125
27, -2657.758411049843, 3, 6.161127046994807, 150, 205273,                                             205273, 51.0611572265625, 1390.370849609375
28, -2546.826710343361, 2, 3.9499580790070468, 98, 205371,                                             205371, 52.289031982421875, 1383.791015625
29, -2206.2825610637665, 2, 2.1502242669957923, 42, 205413,                                             205413, 51.74707794189453, 1395.7174072265625
30, -3931.751694083214, 4, 25.868683159002103, 558, 205971,                                             205971, 51.3392219543457, 1367.3470458984375
31, -3868.7488944530487, 4, 22.653584580002644, 520, 206491,                                             206491, 51.77933883666992, 1354.9266357421875
32, -3650.4500579833984, 4, 19.379964574996848, 484, 206975,                                             206975, 51.271339416503906, 1350.1517333984375
33, -4213.292708873749, 4, 26.060051022999687, 556, 207531,                                             207531, 50.5676383972168, 1344.9505615234375
34, -4048.3815627098083, 4, 23.241187252999225, 531, 208062,                                             208062, 50.628173828125, 1342.370849609375
35, -3858.9493045806885, 4, 19.415095978001773, 494, 208556,                                             208556, 48.46232986450195, 1335.0032958984375
36, -4206.205994844437, 4, 25.44045169200399, 555, 209111,                                             209111, 48.399757385253906, 1332.50634765625
37, -4003.5653023719788, 4, 23.25757657900249, 531, 209642,                                             209642, 49.3169059753418, 1334.721923828125
38, -3758.5608682632446, 4, 19.21441641799902, 489, 210131,                                             210131, 49.032501220703125, 1336.588623046875
39, -4326.603828430176, 4, 24.631730474997312, 543, 210674,                                             210674, 49.036041259765625, 1336.403076171875
40, -4276.920266628265, 4, 25.655778871005168, 554, 211228,                                             211228, 48.524539947509766, 1337.466552734375
41, -4080.0060997009277, 4, 18.819023611999, 477, 211705,                                             211705, 48.624061584472656, 1341.853271484375
42, -2650.617811322212, 4, 23.679863571996975, 535, 212240,                                             212240, 48.650760650634766, 1338.768310546875
43, -2456.881076335907, 2, 5.127709635999054, 108, 212348,                                             212348, 49.41654586791992, 1327.2099609375
44, -2258.1555268764496, 2, 2.3475419969981886, 50, 212398,                                             212398, 45.17635726928711, 1325.9920654296875
45, -2578.596086740494, 2, 5.364232667998294, 103, 212501,                                             212501, 46.43312454223633, 1323.5399169921875
46, -1599.9699996709824, 4, 21.02728536500217, 502, 213003,                                             213003, 42.78390121459961, 1322.2841796875
47, -2926.2621356248856, 3, 10.553046492997964, 258, 213261,                                             213261, 41.90446472167969, 1322.01171875
48, -2685.756510734558, 2, 7.3637736789969495, 186, 213447,                                             213447, 40.84421157836914, 1320.823974609375
49, -2189.3003311157227, 2, 2.3159752179999487, 46, 213493,                                             213493, 41.322242736816406, 1317.685302734375
50, 2436.38562476635, 1, 1.5402891440025996, 30, 213523,                                             213523, 39.78324508666992, 1314.159912109375
51, -2525.0111989974976, 2, 3.9212970980006503, 80, 213603,                                             213603, 40.1965446472168, 1319.3258056640625
52, -2291.5754737854004, 2, 2.768427103997965, 60, 213663,                                             213663, 38.97111511230469, 1315.3758544921875
53, -2241.181799888611, 2, 2.5234846169987577, 45, 213708,                                             213708, 36.25471878051758, 1319.1129150390625
54, -3928.11856007576, 2, 23.87075688799814, 519, 214227,                                             214227, 40.57535171508789, 1318.5147705078125
55, -2172.224730014801, 2, 2.1197925149972434, 40, 214267,                                             214267, 41.53847122192383, 1318.5540771484375
56, -2463.801737546921, 2, 5.334129866001604, 114, 214381,                                             214381, 40.146297454833984, 1320.7626953125
57, -2199.6905772686005, 2, 1.545129032994737, 39, 214420,                                             214420, 41.02545928955078, 1327.203857421875
58, -2185.4224067926407, 2, 1.9065540709998459, 42, 214462,                                             214462, 40.07965087890625, 1329.3489990234375
59, 2306.532010912895, 1, 2.714092845999403, 65, 214527,                                             214527, 40.8682861328125, 1319.84814453125
60, -2368.559587955475, 2, 3.7232360540001537, 88, 214615,                                             214615, 39.27372741699219, 1328.37109375
