episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
6401, -2776.332166671753, 3, 2.5665107750028255, 107, 936253,                                             936253, 0.0, 32607.73828125
6402, 2368.30398760736, 1, 2.534865637004259, 83, 936336,                                             936336, 0.0, 31780.1484375
6403, -2409.6987986564636, 5, 0.908973536999838, 30, 936366,                                             936366, 0.0, 26954.09765625
6404, -3069.7417948246, 2, 5.734260395998717, 230, 936596,                                             936596, 0.0, 37669.91796875
6405, -2538.1696087941527, 2, 3.3206079570009024, 130, 936726,                                             936726, 0.0, 34587.9140625
6406, 1709.7444111555815, 1, 6.527954206001596, 264, 936990,                                             936990, 0.0, 35335.0625
6407, 1624.4650943279266, 1, 4.733741994001321, 188, 937178,                                             937178, 0.0, 29574.4921875
6408, -2288.646257787943, 3, 2.1349420949991327, 83, 937261,                                             937261, 0.0, 32465.162109375
6409, 1159.5081030018628, 1, 9.14166825999564, 360, 937621,                                             937621, 0.0, 34394.08984375
6410, -2557.644271969795, 2, 3.5246041260033962, 131, 937752,                                             937752, 0.0, 31019.728515625
6411, 2252.384470053017, 1, 1.5038921889936319, 62, 937814,                                             937814, 0.0, 31653.251953125
6412, -2399.473829269409, 2, 1.1050451129995054, 33, 937847,                                             937847, 0.0, 48029.171875
6413, 2412.9353935308754, 1, 0.9076339800012647, 30, 937877,                                             937877, 0.0, 31780.849609375
6414, 2201.958887822926, 1, 1.9115407080025761, 70, 937947,                                             937947, 0.0, 33741.6640625
6415, 376.07087201764807, 1, 11.357789964000403, 479, 938426,                                             938426, 0.0, 33028.640625
6416, -2498.71994304657, 3, 1.337518006999744, 32, 938458,                                             938458, 0.0, 35583.32421875
6417, 2307.1940393149853, 1, 1.7028651930013439, 60, 938518,                                             938518, 0.0, 35405.3203125
6418, -2389.2864825725555, 2, 1.5343999689939665, 63, 938581,                                             938581, 0.0, 32260.361328125
6419, 2374.9113528401067, 1, 2.912441956003022, 109, 938690,                                             938690, 0.0, 35281.3515625
6420, -2922.0300762057304, 2, 3.921596503998444, 154, 938844,                                             938844, 0.0, 33810.4296875
6421, -2426.2828323841095, 2, 3.289436420003767, 127, 938971,                                             938971, 0.0, 30384.669921875
6422, 2420.3570021390915, 1, 0.9086515830058488, 30, 939001,                                             939001, 0.0, 24974.787109375
6423, 1403.514223081991, 1, 7.330820413000765, 310, 939311,                                             939311, 0.0, 32846.30859375
6424, 2335.2796822041273, 1, 1.3116806910038576, 44, 939355,                                             939355, 0.0, 28567.560546875
6425, -2176.698653370142, 3, 1.3111433039957774, 42, 939397,                                             939397, 0.0, 29350.61328125
6426, 2292.39439933002, 1, 2.126656947999436, 90, 939487,                                             939487, 0.0, 35833.2265625
6427, -2332.100444825599, 2, 1.3079015179973794, 47, 939534,                                             939534, 0.0, 28049.92578125
6428, 2336.7815022319555, 1, 1.339742803000263, 57, 939591,                                             939591, 0.0, 31607.11328125
6429, -2512.605476498604, 2, 2.9088640170011786, 109, 939700,                                             939700, 0.0, 34290.40234375
6430, -2336.0846778154373, 2, 2.3322753489992465, 95, 939795,                                             939795, 0.0, 33468.34765625
6431, -2548.890465915203, 2, 3.0848799649975263, 127, 939922,                                             939922, 0.0, 29346.740234375
6432, 2245.647865116596, 1, 2.7071727709990228, 101, 940023,                                             940023, 0.0, 34518.078125
6433, -2763.5625234395266, 2, 3.7228135820041643, 143, 940166,                                             940166, 0.0, 35120.6015625
6434, 2298.393341690302, 1, 2.1135749480017694, 78, 940244,                                             940244, 0.0, 31159.521484375
6435, -2630.7219593524933, 2, 1.1327671360049862, 43, 940287,                                             940287, 0.0, 31005.525390625
6436, 2260.8350719213486, 1, 2.312458907996188, 61, 940348,                                             940348, 0.0, 28685.421875
6437, -2334.9522886276245, 3, 1.1323289740030305, 44, 940392,                                             940392, 0.0, 28745.51953125
