episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -2325.6802795231342, 2, 2.513981242000227, 98, 200013,                                             200013, 0.0, 426637.375
2, -4346.7144594192505, 2, 5.766839363000145, 236, 200249,                                             200249, 0.0, 384648.28125
3, -3434.2043290138245, 2, 4.331255900000542, 175, 200424,                                             200424, 0.0, 433964.71875
4, -2317.172372445464, 2, 2.7472956490000797, 93, 200517,                                             200517, 0.0, 413448.03125
5, -2512.3632769435644, 2, 2.303959519000273, 85, 200602,                                             200602, 0.0, 390507.09375
6, -2950.55558013916, 3, 2.940316509000695, 117, 200719,                                             200719, 0.0, 373289.53125
7, -2447.657525897026, 2, 2.539683508000053, 107, 200826,                                             200826, 0.0, 410952.59375
8, -2523.7491593807936, 2, 3.7459874140004104, 157, 200983,                                             200983, 0.0, 404420.34375
9, -2646.56094956398, 2, 2.3083156630000303, 86, 201069,                                             201069, 0.0, 359710.21875
10, -2620.6724430322647, 2, 1.9112753950003025, 73, 201142,                                             201142, 0.0, 416089.65625
11, -2559.320402622223, 2, 2.567232829999739, 99, 201241,                                             201241, 0.0, 413702.875
12, -2565.4819743335247, 2, 3.1528892640008053, 133, 201374,                                             201374, 0.0, 373871.46875
13, -3459.950934290886, 2, 4.320535337000365, 169, 201543,                                             201543, 0.0, 380088.09375
14, -2735.6930966973305, 3, 3.329447314999925, 130, 201673,                                             201673, 0.0, 360703.5
15, 2419.900335488841, 1, 0.9090316319998237, 30, 201703,                                             201703, 0.0, 359545.8125
16, -2380.460661649704, 2, 1.7445973359999698, 74, 201777,                                             201777, 0.0, 415668.28125
17, -2782.54556581378, 2, 3.112616307999815, 122, 201899,                                             201899, 0.0, 372647.59375
18, -3252.0380257964134, 2, 4.151838904000215, 177, 202076,                                             202076, 0.0, 421233.0
19, -2268.1542148138396, 3, 3.110840772999836, 120, 202196,                                             202196, 0.0, 406772.28125
20, -2461.884209692478, 3, 3.1482113940001, 129, 202325,                                             202325, 0.0, 403894.3125
21, -2761.9097665548325, 2, 2.9524482090000674, 114, 202439,                                             202439, 0.0, 419507.6875
22, -2669.613590478897, 2, 2.7159234820001075, 107, 202546,                                             202546, 0.0, 374619.6875
23, -3619.3882014751434, 2, 4.560402049999539, 194, 202740,                                             202740, 0.0, 401385.5
24, -3113.437903404236, 3, 2.7438950519999707, 117, 202857,                                             202857, 0.0, 403255.75
25, -2685.4238662719727, 2, 2.713659539999753, 108, 202965,                                             202965, 0.0, 455286.84375
26, -2329.733358860016, 2, 2.317090945000018, 89, 203054,                                             203054, 0.0, 404015.6875
27, 2225.6406121850014, 1, 2.7158746639997844, 106, 203160,                                             203160, 0.0, 401341.25
28, -4412.098460674286, 2, 5.957885204000377, 233, 203393,                                             203393, 0.0, 356948.84375
29, -3225.1660601496696, 2, 3.9441229490003025, 168, 203561,                                             203561, 0.0, 305593.75
30, 1664.8255532309413, 1, 3.7165473509994627, 149, 203710,                                             203710, 0.0, 356683.34375
31, -2353.7657771110535, 2, 0.9855501120000554, 36, 203746,                                             203746, 0.0, 322997.625
32, -2736.7322273254395, 3, 2.912355144000685, 113, 203859,                                             203859, 0.0, 336716.96875
33, 2231.9879932403564, 1, 1.946003811999617, 81, 203940,                                             203940, 0.0, 364386.78125
34, -2759.3866860866547, 2, 2.7145176920002996, 106, 204046,                                             204046, 0.0, 338916.125
35, -3263.030042409897, 2, 3.749993510999957, 153, 204199,                                             204199, 0.0, 314963.59375
36, -2651.0490012168884, 2, 2.5111252589995274, 100, 204299,                                             204299, 0.0, 372240.375
37, -3219.8440260887146, 2, 3.1463412169996445, 129, 204428,                                             204428, 0.0, 362962.1875
38, -2845.6193881854415, 2, 3.7117705660002684, 149, 204577,                                             204577, 0.0, 363623.84375
39, -2506.1581015735865, 3, 3.530571890999454, 133, 204710,                                             204710, 0.0, 338124.46875
40, -4366.953503489494, 2, 9.546558538000681, 394, 205104,                                             205104, 0.0, 359037.375
41, -3903.051813693717, 2, 6.979387608000252, 286, 205390,                                             205390, 0.0, 333505.0
42, -2921.097987651825, 2, 3.7516855350004334, 154, 205544,                                             205544, 0.0, 320663.09375
43, -6084.25551789999, 2, 15.159782474000167, 630, 206174,                                             206174, 0.0, 328487.4375
44, -2844.4566391706467, 2, 4.531821606000449, 162, 206336,                                             206336, 0.0, 313527.59375
45, -3183.8101801276207, 2, 4.165475008000612, 143, 206479,                                             206479, 0.0, 289425.8125
