episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -2389.7322874069214, 2, 3.918626315999063, 88, 200020,                                             200020, 52.713993072509766, 1312.7664794921875
2, -3796.1519832611084, 4, 22.47882076499991, 503, 200523,                                             200523, 53.54655838012695, 1319.9368896484375
3, -3951.9505887031555, 4, 26.497950777998994, 542, 201065,                                             201065, 52.85498046875, 1309.45849609375
4, -3356.0232226848602, 4, 19.41183780100073, 473, 201538,                                             201538, 53.3333740234375, 1298.7410888671875
5, -3738.4093687534332, 4, 23.460606169999664, 520, 202058,                                             202058, 51.45457458496094, 1294.7083740234375
6, -3632.5257070064545, 4, 24.68670125800054, 519, 202577,                                             202577, 52.360538482666016, 1285.0712890625
7, -3517.034943342209, 4, 19.781243794001057, 484, 203061,                                             203061, 51.48628616333008, 1279.904541015625
8, -2286.1120319366455, 2, 1.9474125130000175, 47, 203108,                                             203108, 54.5491828918457, 1270.0252685546875
9, -3971.097343683243, 4, 25.23854713000037, 535, 203643,                                             203643, 53.379486083984375, 1270.2696533203125
10, -6315.615292549133, 2, 19.451033607998397, 406, 204049,                                             204049, 52.83894729614258, 1266.5753173828125
11, -3378.1006672382355, 4, 19.209495848001097, 477, 204526,                                             204526, 53.81604766845703, 1262.915283203125
12, -3855.8402438163757, 4, 23.46126310100044, 521, 205047,                                             205047, 52.369815826416016, 1263.3663330078125
13, -3974.098381280899, 4, 25.642057762999684, 541, 205588,                                             205588, 52.61342239379883, 1257.881103515625
14, -3550.6117930412292, 4, 19.218943432999367, 473, 206061,                                             206061, 53.221099853515625, 1252.739990234375
15, -5918.157625675201, 2, 23.23382918599964, 500, 206561,                                             206561, 53.2944221496582, 1246.588134765625
16, -3865.746586084366, 4, 24.037212119999822, 520, 207081,                                             207081, 52.1023063659668, 1244.4107666015625
17, -3508.6732366085052, 4, 19.413325225001245, 474, 207555,                                             207555, 52.22086715698242, 1241.13671875
18, -4025.2623767852783, 4, 25.25023300200155, 535, 208090,                                             208090, 52.38820266723633, 1237.721435546875
19, -4219.546453475952, 2, 13.414924463000716, 277, 208367,                                             208367, 54.584835052490234, 1231.9376220703125
20, -4262.7531752586365, 2, 12.35507299100027, 295, 208662,                                             208662, 53.30817413330078, 1234.635009765625
21, -3572.115264415741, 4, 19.444630362999305, 478, 209140,                                             209140, 53.138282775878906, 1232.62548828125
22, -4036.069568157196, 4, 27.099281007000172, 556, 209696,                                             209696, 53.88743209838867, 1229.943359375
23, -3481.3425624370575, 4, 21.6417335189999, 497, 210193,                                             210193, 53.966487884521484, 1234.45654296875
24, -3604.9311242103577, 4, 21.24538435699833, 488, 210681,                                             210681, 54.318790435791016, 1238.968994140625
25, -4094.084208726883, 4, 26.682872495999618, 545, 211226,                                             211226, 54.86117935180664, 1241.7840576171875
26, -3663.6185088157654, 4, 20.19795498699932, 490, 211716,                                             211716, 55.51518249511719, 1245.574462890625
27, -3744.8840487003326, 4, 21.816614391998883, 497, 212213,                                             212213, 55.5672492980957, 1249.1650390625
28, -4147.484549045563, 4, 27.08689613200113, 552, 212765,                                             212765, 54.872188568115234, 1250.168701171875
29, -3541.2457523345947, 4, 20.036198985000738, 465, 213230,                                             213230, 56.71022033691406, 1245.4603271484375
30, -3870.4072070121765, 4, 22.820453729998917, 506, 213736,                                             213736, 55.16084289550781, 1262.915283203125
