episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
1, -3039.02724558115, 3, 6.342396206000558, 206, 400111,                                             400111, 0.0, 7685.9326171875
2, -1724.5248633362353, 2, 6.9471113460003835, 229, 400340,                                             400340, 0.0, 7175.44873046875
3, -2093.6052536703646, 3, 4.320751211000243, 166, 400506,                                             400506, 0.0, 7033.744140625
4, -2789.9737451039255, 2, 6.7404278110007, 262, 400768,                                             400768, 0.0, 7457.38671875
5, -3224.442707331851, 2, 6.337764171999879, 234, 401002,                                             401002, 0.0, 6791.06201171875
6, -1913.1040709875524, 2, 5.357291409000027, 211, 401213,                                             401213, 0.0, 6925.64453125
7, -2445.502418110147, 2, 6.129892180999377, 228, 401441,                                             401441, 0.0, 7409.419921875
8, -3118.8046543309465, 2, 8.943514861999574, 347, 401788,                                             401788, 0.0, 5918.85107421875
9, -2028.5477247610688, 2, 3.119693651999114, 117, 401905,                                             401905, 0.0, 7127.1796875
10, -1910.9014992117882, 3, 4.355779466999593, 164, 402069,                                             402069, 0.0, 6443.06005859375
11, -3583.8228541985154, 2, 9.151028643000245, 332, 402401,                                             402401, 0.0, 6462.91943359375
12, -2395.162312850356, 2, 5.761653542000204, 210, 402611,                                             402611, 0.0, 8242.083984375
13, -2309.2003532594535, 3, 5.120503243000712, 190, 402801,                                             402801, 0.0, 6935.27783203125
14, -2192.780110733118, 3, 4.129578041000059, 152, 402953,                                             402953, 0.0, 7769.44970703125
15, 2579.1551321148872, 1, 2.119523692999792, 77, 403030,                                             403030, 0.0, 7099.326171875
16, -2401.0891516078264, 2, 3.5198184569999285, 128, 403158,                                             403158, 0.0, 7693.52880859375
17, -2142.7905368525535, 3, 3.9241826420002326, 143, 403301,                                             403301, 0.0, 6686.123046875
18, -1908.4698446542025, 3, 3.347954953998851, 130, 403431,                                             403431, 0.0, 7028.76904296875
19, -2469.5784021746367, 3, 3.9214064509997115, 146, 403577,                                             403577, 0.0, 7518.22705078125
20, -2018.239759588614, 3, 4.54844150000099, 173, 403750,                                             403750, 0.0, 6551.9609375
21, -1935.7303811749443, 2, 5.798613497001497, 204, 403954,                                             403954, 0.0, 6821.70703125
22, -2864.9692577309906, 2, 7.729928382999788, 303, 404257,                                             404257, 0.0, 7468.3876953125
23, -2270.1721285746316, 2, 3.956829069000378, 143, 404400,                                             404400, 0.0, 7902.591796875
24, -2459.6032039839774, 3, 4.311180226999568, 164, 404564,                                             404564, 0.0, 7518.41552734375
25, -2678.6934169754386, 2, 8.945185911001317, 351, 404915,                                             404915, 0.0, 7945.53857421875
26, -2293.1854936569, 3, 4.550569040000482, 178, 405093,                                             405093, 0.0, 6946.59912109375
27, -3050.2659514546394, 2, 5.322867484999733, 205, 405298,                                             405298, 0.0, 6418.90234375
28, -2210.617917098105, 2, 5.527861545999258, 212, 405510,                                             405510, 0.0, 7706.16455078125
29, -2445.8625288764015, 2, 4.74812004100022, 187, 405697,                                             405697, 0.0, 6629.21142578125
30, -3061.430630505085, 2, 8.976720119000674, 357, 406054,                                             406054, 0.0, 6848.2001953125
31, -2172.8320615265984, 2, 5.347005363999415, 204, 406258,                                             406258, 0.0, 6407.5224609375
32, -1972.156783533981, 2, 4.559095675000208, 174, 406432,                                             406432, 0.0, 6053.42578125
33, -1824.4437667978927, 2, 4.521713256001021, 168, 406600,                                             406600, 0.0, 7085.4814453125
34, -2545.974555917084, 2, 5.160499252999216, 204, 406804,                                             406804, 0.0, 7308.05322265625
35, -3268.729171159677, 2, 12.359713392999765, 485, 407289,                                             407289, 0.0, 6960.24169921875
36, -1827.8179367780685, 3, 5.3690262860000075, 165, 407454,                                             407454, 0.0, 5357.306640625
37, -1455.109112918377, 3, 6.551033456998994, 216, 407670,                                             407670, 0.0, 6388.68701171875
38, -2183.765502123162, 3, 5.135220706999462, 176, 407846,                                             407846, 0.0, 6464.689453125
39, -2471.478762542829, 3, 6.167057888000272, 208, 408054,                                             408054, 0.0, 5947.4326171875
40, -1671.9043313339353, 3, 6.131605501001104, 220, 408274,                                             408274, 0.0, 6990.861328125
41, -2172.6452283333056, 2, 6.575989758001015, 263, 408537,                                             408537, 0.0, 7318.68310546875
42, -1897.44352805987, 3, 3.7450017949995527, 147, 408684,                                             408684, 0.0, 6825.3115234375
43, -2046.0323109366, 2, 5.123256693001167, 201, 408885,                                             408885, 0.0, 6440.72998046875
44, 2623.415972471237, 1, 2.3148219069989864, 81, 408966,                                             408966, 0.0, 7569.0986328125
45, -2781.91106069088, 2, 3.363206429999991, 126, 409092,                                             409092, 0.0, 5693.31494140625
46, -3053.166790614836, 2, 8.745371977000104, 328, 409420,                                             409420, 0.0, 6085.54443359375
47, -2578.2044974192977, 2, 5.53544333300124, 216, 409636,                                             409636, 0.0, 5877.73876953125
48, -1822.5674099861644, 3, 4.761027622998881, 187, 409823,                                             409823, 0.0, 7765.88232421875
49, -2484.801871519536, 3, 3.7194219939992763, 133, 409956,                                             409956, 0.0, 6371.33349609375
50, -3176.3146295547485, 2, 7.369326232999811, 278, 410234,                                             410234, 0.0, 5863.60205078125
51, -1933.9446473792195, 2, 7.1542901689990686, 220, 410454,                                             410454, 0.0, 5817.2783203125
52, -2461.017551635392, 2, 6.542325098998845, 216, 410670,                                             410670, 0.0, 5973.29248046875
53, -2485.366963257082, 3, 5.347337307999624, 168, 410838,                                             410838, 0.0, 6328.119140625
54, -2647.992227252573, 3, 6.752761977999398, 189, 411027,                                             411027, 0.0, 6777.68701171875
55, -2045.5162762328982, 3, 7.785230264000347, 272, 411299,                                             411299, 0.0, 6235.869140625
56, -1782.937266767025, 3, 4.520854264999798, 157, 411456,                                             411456, 0.0, 6973.75634765625
57, -1759.203890800476, 3, 3.346282081998652, 130, 411586,                                             411586, 0.0, 6508.341796875
58, -2748.6963588807266, 2, 6.928056898999785, 270, 411856,                                             411856, 0.0, 7946.501953125
59, 3020.014008866623, 1, 7.76253337199887, 309, 412165,                                             412165, 0.0, 5757.2958984375
60, -2389.595055801794, 2, 1.908070420000513, 67, 412232,                                             412232, 0.0, 7579.3017578125
61, 2623.7142816781998, 1, 2.1549477159987873, 81, 412313,                                             412313, 0.0, 5446.93701171875
62, -2300.1011640653014, 3, 2.7179110560009576, 95, 412408,                                             412408, 0.0, 9540.6513671875
63, -1849.6133492765948, 2, 5.355723316000876, 212, 412620,                                             412620, 0.0, 6617.119140625
64, -1974.4283479130827, 2, 6.328289245000633, 247, 412867,                                             412867, 0.0, 7176.755859375
65, -1866.5320082716644, 3, 3.7528357510000205, 150, 413017,                                             413017, 0.0, 8182.291015625
66, -2559.347588116303, 2, 6.926288070999362, 267, 413284,                                             413284, 0.0, 6952.400390625
67, -1976.7213919812639, 3, 3.7521671720005543, 145, 413429,                                             413429, 0.0, 7450.75537109375
68, -2648.954328753054, 2, 7.144045332999667, 247, 413676,                                             413676, 0.0, 8311.6904296875
69, -2982.6872165724635, 2, 7.9516143840010045, 281, 413957,                                             413957, 0.0, 7061.56982421875
70, -2270.9966722829267, 2, 8.387523780000265, 291, 414248,                                             414248, 0.0, 7472.36083984375
71, -2760.8079181835055, 2, 4.923972105998473, 164, 414412,                                             414412, 0.0, 6479.1708984375
72, -2291.3654548488557, 2, 2.7216029779992823, 95, 414507,                                             414507, 0.0, 5861.44091796875
73, -1936.1656185723841, 3, 4.548010302998591, 182, 414689,                                             414689, 0.0, 7506.54541015625
74, -2711.399519622326, 2, 7.7332887219999975, 304, 414993,                                             414993, 0.0, 6814.6171875
75, -2674.0219756308943, 3, 5.728973741999653, 219, 415212,                                             415212, 0.0, 7324.7783203125
76, -2798.584712743759, 2, 9.363174567000897, 380, 415592,                                             415592, 0.0, 7570.57373046875
77, -1847.5895768350456, 2, 3.9185745770009817, 142, 415734,                                             415734, 0.0, 6952.150390625
78, -2407.947225112468, 2, 5.157645440000124, 186, 415920,                                             415920, 0.0, 7044.5048828125
79, -1987.241929574404, 3, 3.7136827710000944, 141, 416061,                                             416061, 0.0, 6948.4833984375
80, -2242.7396151658613, 2, 5.124688481999328, 189, 416250,                                             416250, 0.0, 7205.83154296875
81, -2180.857673584949, 2, 4.558733709998705, 181, 416431,                                             416431, 0.0, 6751.63525390625
82, -2113.3509855487937, 3, 5.128559064000001, 190, 416621,                                             416621, 0.0, 7492.765625
83, -3464.470459425589, 2, 12.404501479000828, 414, 417035,                                             417035, 0.0, 6265.876953125
84, -1820.414678052999, 3, 6.547501158000159, 220, 417255,                                             417255, 0.0, 7138.322265625
85, -2543.617667729035, 2, 6.345340353000211, 217, 417472,                                             417472, 0.0, 5771.80419921875
86, -1667.117596566677, 3, 5.359000492999257, 191, 417663,                                             417663, 0.0, 6709.2197265625
87, -2425.252027524635, 2, 4.719390381000267, 181, 417844,                                             417844, 0.0, 7376.998046875
