episode, reward, success, duration, steps, total_steps, memory length, avg_critic_loss, avg_actor_loss
3101, 2241.9937767237425, 1, 2.976708245001646, 73, 564896,                                             564896, 41.897029876708984, 274.2860412597656
3102, 2289.676881611347, 1, 2.914250206998986, 68, 564964,                                             564964, 46.64788055419922, 276.2802734375
3103, -2644.9303958415985, 3, 8.362471756998275, 242, 565206,                                             565206, 45.25597381591797, 275.8616027832031
3104, -2360.3333902955055, 2, 3.3172892869988573, 89, 565295,                                             565295, 42.61418914794922, 275.58551025390625
3105, -2238.4664120674133, 2, 3.117218513001717, 86, 565381,                                             565381, 43.112998962402344, 273.2018127441406
3106, -2248.5531361699104, 2, 3.1269405860002735, 88, 565469,                                             565469, 46.14720916748047, 271.3748474121094
3107, -2313.1126039624214, 2, 2.3307204060001823, 67, 565536,                                             565536, 50.498046875, 273.6070861816406
3108, -2250.051407635212, 2, 2.909409986998071, 75, 565611,                                             565611, 40.59033966064453, 274.50836181640625
3109, -2239.4915633797646, 3, 3.1357082549984625, 88, 565699,                                             565699, 49.32502746582031, 276.2197570800781
3110, 2270.8844470977783, 1, 2.3098163490030856, 61, 565760,                                             565760, 40.62916564941406, 273.06829833984375
3111, -2821.7770570516586, 3, 6.328483593999408, 173, 565933,                                             565933, 47.930809020996094, 274.1206970214844
3112, 2400.8296211361885, 1, 2.111475951001921, 52, 565985,                                             565985, 42.36647033691406, 274.7467041015625
3113, -2526.8127584457397, 5, 1.329001160000189, 32, 566017,                                             566017, 44.466129302978516, 273.6395568847656
3114, -2222.150878608227, 2, 3.517774926000129, 86, 566103,                                             566103, 37.57244873046875, 272.39190673828125
3115, 2344.8555544018745, 1, 2.345877648000169, 61, 566164,                                             566164, 45.763771057128906, 274.8017272949219
3116, -3337.4389803409576, 2, 15.584360663000552, 407, 566571,                                             566571, 44.571372985839844, 275.0433044433594
3117, 2142.134917974472, 1, 6.33217628499915, 157, 566728,                                             566728, 43.46210479736328, 273.1080017089844
3118, -2483.9213507175446, 2, 5.952378293997754, 154, 566882,                                             566882, 44.39943313598633, 275.573486328125
3119, -2215.9431861639023, 3, 3.1370834590015875, 83, 566965,                                             566965, 43.541446685791016, 276.5879821777344
3120, 2318.0975663661957, 1, 4.724432085000444, 120, 567085,                                             567085, 41.03611755371094, 275.8365783691406
3121, 2152.612361252308, 1, 4.870795334998547, 122, 567207,                                             567207, 41.44550323486328, 275.17340087890625
3122, -2697.0948235988617, 3, 1.5412962189984682, 32, 567239,                                             567239, 51.674564361572266, 277.7435607910156
3123, 2139.9732212126255, 1, 6.528886317999422, 166, 567405,                                             567405, 46.52998352050781, 273.44927978515625
3124, -2148.6400455236435, 3, 1.540704798000661, 40, 567445,                                             567445, 45.43511199951172, 277.39569091796875
3125, 2020.749904692173, 1, 7.728702364001947, 199, 567644,                                             567644, 42.47681427001953, 273.01373291015625
3126, -2419.5347383618355, 3, 4.740267254001083, 136, 567780,                                             567780, 43.15768814086914, 273.88372802734375
3127, 2381.4053143262863, 1, 1.9073735660022066, 45, 567825,                                             567825, 45.10921859741211, 274.9761047363281
3128, -2538.137560248375, 3, 4.770543335002003, 97, 567922,                                             567922, 41.66896057128906, 273.18292236328125
3129, -3004.3660358190536, 3, 12.002524572999391, 225, 568147,                                             568147, 44.65519714355469, 274.20013427734375
3130, 1932.1512542963028, 1, 9.410357783999643, 198, 568345,                                             568345, 45.09120559692383, 273.7712097167969
3131, -2669.6156182289124, 3, 2.6358647589986504, 66, 568411,                                             568411, 46.48353958129883, 273.71533203125
3132, -2391.732891559601, 3, 3.7440662760018313, 99, 568510,                                             568510, 41.227054595947266, 273.4341735839844
3133, -2259.028753221035, 3, 3.335502252997685, 90, 568600,                                             568600, 46.932987213134766, 272.76885986328125
3134, 2327.0744604170322, 1, 4.524050539999735, 121, 568721,                                             568721, 42.16373062133789, 273.2524719238281
3135, 2257.256149470806, 1, 3.9151256040022417, 99, 568820,                                             568820, 40.37025451660156, 271.8432922363281
3136, -2549.852297067642, 3, 4.5256216839989065, 116, 568936,                                             568936, 51.752750396728516, 272.7263488769531
3137, 1886.3764055371284, 1, 6.962845968999318, 189, 569125,                                             569125, 47.37102508544922, 273.38592529296875
3138, 2310.516800880432, 1, 4.321011631000147, 100, 569225,                                             569225, 48.641815185546875, 274.330322265625
3139, 1992.616704583168, 1, 7.18445504400006, 154, 569379,                                             569379, 45.67500305175781, 273.254638671875
3140, 2143.5224863886833, 1, 6.734050752998883, 140, 569519,                                             569519, 44.72220230102539, 272.2185974121094
3141, 2310.676395893097, 1, 2.407878915000765, 49, 569568,                                             569568, 43.339210510253906, 276.74755859375
3142, 2077.949687719345, 1, 5.542906352002319, 124, 569692,                                             569692, 43.95462417602539, 272.81719970703125
3143, 1797.7520748376846, 1, 6.746516876002715, 149, 569841,                                             569841, 46.28192138671875, 272.91229248046875
3144, 2074.843251466751, 1, 4.32892186999743, 116, 569957,                                             569957, 44.69550704956055, 271.97430419921875
3145, -2380.8437437415123, 2, 2.5418895420007175, 62, 570019,                                             570019, 42.25178146362305, 274.4985656738281
3146, -2275.4910900592804, 2, 4.526210748997983, 97, 570116,                                             570116, 43.9382438659668, 270.1942138671875
